<DATE>,<CLOSE>
2015.04.15,19.26
2015.04.16,19.84
2015.04.17,18.89
2015.04.20,18.8
2015.04.22,19.56
2015.04.23,20.23
2015.04.24,20.92
2015.04.27,20.31
2015.04.28,20.39
2015.04.29,20.0
2015.04.30,20.48
2015.05.04,20.34
2015.05.05,20.9
2015.05.06,20.86
2015.05.07,21.43
2015.05.08,21.54
2015.05.11,21.59
2015.05.12,21.17
2015.05.13,20.77
2015.05.14,19.97
2015.05.15,20.17
2015.05.18,20.03
2015.05.19,19.44
2015.05.20,19.26
2015.05.21,18.95
2015.05.22,18.31
2015.05.25,18.97
2015.05.26,18.46
2015.05.27,18.77
2015.05.28,18.35
2015.05.29,17.83
2015.06.01,17.94
2015.06.02,18.39
2015.06.03,17.72
2015.06.05,17.51
2015.06.08,17.43
2015.06.09,17.66
2015.06.10,18.2
2015.06.11,18.09
2015.06.12,17.84
2015.06.15,17.81
2015.06.16,18.4
2015.06.17,17.88
2015.06.18,18.46
2015.06.19,18.33
2015.06.22,18.68
2015.06.23,18.57
2015.06.24,18.93
2015.06.25,18.69
2015.06.26,19.42
2015.06.29,18.87
2015.06.30,19.25
2015.07.01,19.0
2015.07.02,18.95
2015.07.03,18.76
2015.07.06,18.91
2015.07.07,18.57
2015.07.08,18.36
2015.07.10,18.84
2015.07.13,18.95
2015.07.14,18.97
2015.07.15,18.97
2015.07.16,18.35
2015.07.17,17.92
2015.07.20,17.46
2015.07.21,17.44
2015.07.22,16.6
2015.07.23,16.34
2015.07.24,16.18
2015.07.27,16.67
2015.07.28,16.65
2015.07.29,17.38
2015.07.30,17.08
2015.07.31,17.48
2015.08.03,17.63
2015.08.04,17.0
2015.08.05,17.2
2015.08.06,16.73
2015.08.07,16.24
2015.08.10,16.66
2015.08.11,16.87
2015.08.12,16.12
2015.08.13,15.42
2015.08.14,15.3
2015.08.17,15.05
2015.08.18,15.55
2015.08.19,14.59
2015.08.20,14.75
2015.08.21,14.71
2015.08.24,14.31
2015.08.25,14.13
2015.08.26,14.83
2015.08.27,15.35
2015.08.28,14.99
2015.08.31,14.23
2015.09.01,13.87
2015.09.02,13.89
2015.09.03,14.23
2015.09.04,13.6
2015.09.08,13.65
2015.09.09,13.69
2015.09.10,13.45
2015.09.11,13.09
2015.09.14,13.83
2015.09.15,14.33
2015.09.16,14.76
2015.09.17,14.44
2015.09.18,13.63
2015.09.21,13.19
2015.09.22,13.18
2015.09.23,12.71
2015.09.24,12.74
2015.09.25,12.35
2015.09.28,11.73
2015.09.29,11.6
2015.09.30,12.31
2015.10.01,12.07
2015.10.02,12.89
2015.10.05,13.08
2015.10.06,13.38
2015.10.07,14.52
2015.10.08,14.31
2015.10.09,14.99
2015.10.13,13.74
2015.10.14,13.61
2015.10.15,13.42
2015.10.16,13.18
2015.10.19,13.76
2015.10.20,13.32
2015.10.21,13.48
2015.10.22,13.68
2015.10.23,13.5
2015.10.26,13.23
2015.10.27,13.41
2015.10.28,13.18
2015.10.29,12.55
2015.10.30,12.93
2015.11.03,14.07
2015.11.04,14.13
2015.11.05,14.82
2015.11.06,14.09
2015.11.09,13.75
2015.11.10,13.87
2015.11.11,13.97
2015.11.12,13.93
2015.11.13,13.82
2015.11.16,14.01
2015.11.17,14.26
2015.11.18,14.36
2015.11.19,15.17
2015.11.23,15.04
2015.11.24,15.18
2015.11.25,14.2
2015.11.26,14.57
2015.11.27,14.11
2015.11.30,13.3
2015.12.01,13.3
2015.12.02,13.4
2015.12.03,14.53
2015.12.04,14.14
2015.12.07,14.08
2015.12.08,13.94
2015.12.09,15.34
2015.12.10,14.69
2015.12.11,14.41
2015.12.14,13.77
2015.12.15,13.87
2015.12.16,13.65
2015.12.17,13.56
2015.12.18,13.2
2015.12.21,12.34
2015.12.22,12.41
2015.12.23,12.29
2015.12.28,12.4
2015.12.29,12.25
2015.12.30,12.2
2016.01.04,11.78
2016.01.05,11.82
2016.01.06,11.82
2016.01.07,11.54
2016.01.08,11.54
2016.01.11,11.21
2016.01.12,10.82
2016.01.13,10.62
2016.01.14,11.22
2016.01.15,10.79
2016.01.18,10.72
2016.01.19,10.62
2016.01.20,10.53
2016.01.21,10.52
2016.01.22,10.76
2016.01.26,10.67
2016.01.27,10.51
2016.01.28,10.74
2016.01.29,11.46
2016.02.01,11.72
2016.02.02,10.84
2016.02.03,10.98
2016.02.04,11.42
2016.02.05,11.33
2016.02.10,11.33
2016.02.11,10.81
2016.02.12,10.76
2016.02.15,10.87
2016.02.16,11.09
2016.02.17,11.05
2016.02.18,10.65
2016.02.19,10.77
2016.02.22,11.26
2016.02.23,11.19
2016.02.24,10.81
2016.02.25,10.86
2016.02.26,10.92
2016.02.29,11.2
2016.03.01,11.85
2016.03.02,12.22
2016.03.03,13.82
2016.03.04,15.18
2016.03.07,15.19
2016.03.08,16.85
2016.03.09,16.89
2016.03.10,17.89
2016.03.11,19.01
2016.03.14,18.54
2016.03.15,14.62
2016.03.16,15.11
2016.03.17,17.28
2016.03.18,17.0
2016.03.21,17.29
2016.03.22,17.04
2016.03.23,16.4
2016.03.24,15.86
2016.03.28,16.79
2016.03.29,17.29
2016.03.30,16.93
2016.03.31,16.51
2016.04.01,16.51
2016.04.04,15.58
2016.04.05,15.33
2016.04.06,15.18
2016.04.07,15.65
2016.04.08,17.46
2016.04.11,17.99
2016.04.12,18.46
2016.04.13,18.65
2016.04.14,18.32
2016.04.15,18.96
2016.04.18,18.44
2016.04.19,18.36
2016.04.20,18.23
2016.04.22,17.76
2016.04.25,17.37
2016.04.26,18.17
2016.04.27,18.63
2016.04.28,18.17
2016.04.29,18.47
2016.05.02,18.0
2016.05.03,17.07
2016.05.04,17.44
2016.05.05,17.14
2016.05.06,17.28
2016.05.09,16.91
2016.05.10,17.92
2016.05.11,17.1
2016.05.12,16.62
2016.05.13,16.17
2016.05.16,15.92
2016.05.17,15.15
2016.05.18,15.17
2016.05.19,14.81
2016.05.20,14.46
2016.05.23,14.2
2016.05.24,13.44
2016.05.25,13.84
2016.05.27,13.57
2016.05.30,13.8
2016.05.31,13.85
2016.06.01,13.94
2016.06.02,14.22
2016.06.03,14.55
2016.06.06,14.4
2016.06.07,14.23
2016.06.08,14.68
2016.06.09,14.64
2016.06.10,13.92
2016.06.13,14.04
2016.06.14,13.65
2016.06.15,13.64
2016.06.16,13.72
2016.06.17,13.56
2016.06.20,14.06
2016.06.21,13.43
2016.06.22,13.39
2016.06.23,13.74
2016.06.24,13.46
2016.06.27,13.25
2016.06.28,13.58
2016.06.29,13.97
2016.06.30,14.56
2016.07.01,14.45
2016.07.04,14.52
2016.07.05,14.41
2016.07.06,14.37
2016.07.07,14.19
2016.07.08,14.6
2016.07.11,15.27
2016.07.12,15.07
2016.07.13,15.29
2016.07.14,16.11
2016.07.15,16.32
2016.07.18,16.91
2016.07.19,17.74
2016.07.20,18.09
2016.07.21,17.75
2016.07.22,17.46
2016.07.25,18.05
2016.07.26,18.17
2016.07.27,18.2
2016.07.28,17.51
2016.07.29,17.84
2016.08.01,17.53
2016.08.02,17.12
2016.08.03,17.39
2016.08.04,17.85
2016.08.05,17.98
2016.08.08,17.94
2016.08.09,18.13
2016.08.10,17.68
2016.08.11,18.68
2016.08.12,19.21
2016.08.15,19.64
2016.08.16,19.18
2016.08.17,19.29
2016.08.18,19.26
2016.08.19,19.66
2016.08.22,18.9
2016.08.23,19.24
2016.08.24,19.04
2016.08.25,19.12
2016.08.26,19.51
2016.08.29,20.29
2016.08.30,20.22
2016.08.31,19.77
2016.09.01,19.47
2016.09.02,20.21
2016.09.05,20.01
2016.09.06,20.46
2016.09.08,20.56
2016.09.09,19.46
2016.09.12,19.55
2016.09.13,18.84
2016.09.14,18.77
2016.09.15,19.1
2016.09.16,18.77
2016.09.19,18.84
2016.09.20,19.35
2016.09.21,19.98
2016.09.22,20.07
2016.09.23,19.64
2016.09.26,19.42
2016.09.27,19.58
2016.09.28,19.95
2016.09.29,19.37
2016.09.30,19.52
2016.10.03,19.98
2016.10.04,20.03
2016.10.05,20.48
2016.10.06,21.13
2016.10.07,21.64
2016.10.10,21.78
2016.10.11,21.29
2016.10.13,21.66
2016.10.14,22.22
2016.10.17,23.52
2016.10.18,24.01
2016.10.19,23.57
2016.10.20,24.05
2016.10.21,24.35
2016.10.24,24.16
2016.10.25,23.58
2016.10.26,23.4
2016.10.27,24.6
2016.10.28,24.22
2016.10.31,25.07
2016.11.01,23.92
2016.11.03,22.78
2016.11.04,23.01
2016.11.07,24.25
2016.11.08,24.21
